strategy,stages,optical_power_mw,total_loss_db,extinction_ratio_db,fanout,gain,gain_noise_db,temperature_c,threshold_cv,retention_hours,read_disturb_rate,write_error_rate,regeneration_interval,error_rate,q_factor,total_energy_pj,seed
each-stage,64,1,-0.000000,11.920000,1,4.000000,0.350000,25.000000,0.050000,2160.000000,1e-06,1e-05,4,0.0003,5.970000,109.400000,20260715
periodic,1,0.794328234724,1.000000,11.920000,1,4.000000,0.350000,25.000000,0.050000,2160.000000,1e-06,1e-05,4,0,5.970000,13.400000,20260715
periodic,2,0.63095734448,2.000000,11.840000,1,4.000000,0.350000,25.000000,0.050000,2160.000000,1e-06,1e-05,4,0,5.850000,13.400000,20260715
periodic,3,0.501187233627,3.000000,11.760000,1,4.000000,0.350000,25.000000,0.050000,2160.000000,1e-06,1e-05,4,0,5.730000,13.400000,20260715
periodic,4,1,-0.000000,11.680000,1,4.000000,0.350000,25.000000,0.050000,2160.000000,1e-06,1e-05,4,0,5.610000,14.900000,20260715
periodic,5,0.794328234724,1.000000,11.680000,1,4.000000,0.350000,25.000000,0.050000,2160.000000,1e-06,1e-05,4,0,5.610000,14.900000,20260715
periodic,6,0.63095734448,2.000000,11.680000,1,4.000000,0.350000,25.000000,0.050000,2160.000000,1e-06,1e-05,4,0,5.610000,14.900000,20260715
periodic,7,0.501187233627,3.000000,11.680000,1,4.000000,0.350000,25.000000,0.050000,2160.000000,1e-06,1e-05,4,0.0002,5.610000,14.900000,20260715
periodic,8,1,-0.000000,11.680000,1,4.000000,0.350000,25.000000,0.050000,2160.000000,1e-06,1e-05,4,0.0004,5.610000,16.400000,20260715
periodic,9,0.794328234724,1.000000,11.680000,1,4.000000,0.350000,25.000000,0.050000,2160.000000,1e-06,1e-05,4,0.0002,5.610000,16.400000,20260715
periodic,10,0.63095734448,2.000000,11.680000,1,4.000000,0.350000,25.000000,0.050000,2160.000000,1e-06,1e-05,4,0.0001,5.610000,16.400000,20260715
periodic,11,0.501187233627,3.000000,11.680000,1,4.000000,0.350000,25.000000,0.050000,2160.000000,1e-06,1e-05,4,0,5.610000,16.400000,20260715
periodic,12,1,-0.000000,11.680000,1,4.000000,0.350000,25.000000,0.050000,2160.000000,1e-06,1e-05,4,0.0002,5.610000,17.900000,20260715
periodic,13,0.794328234724,1.000000,11.680000,1,4.000000,0.350000,25.000000,0.050000,2160.000000,1e-06,1e-05,4,0,5.610000,17.900000,20260715
periodic,14,0.63095734448,2.000000,11.680000,1,4.000000,0.350000,25.000000,0.050000,2160.000000,1e-06,1e-05,4,0.0002,5.610000,17.900000,20260715
